"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","points_count","total_precip_mm","max_intensity_mm_h","openmeteo_verified","dwd_risk_level","radolan_verified","level_reliable"
"Wasserstraße_Springorum","2026/02/18 13:27:00","2026/02/19 02:52:00",1.1,"2026/02/18 13:41:00",805,0.078,"Leichter Regen / Unterhalb DWD-Schwelle",831,2.02,2.16,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/02/19 00:55:00","2026/02/19 14:15:00",1.1,"2026/02/19 03:40:00",800,0.007,"Leichter Regen / Unterhalb DWD-Schwelle",801,3.81,3,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/02/19 03:03:00","2026/02/19 04:32:00",0.9,"2026/02/19 03:40:00",89,0.024,"Leichter Regen / Unterhalb DWD-Schwelle",90,1.13,1.32,NA,NA,TRUE,NA
"Wasserstraße_Springorum","2026/02/19 04:48:00","2026/02/19 11:40:00",4.3,"2026/02/19 08:24:00",412,0.02,"Regenereignis / Natürlich",413,1.91,3,NA,NA,TRUE,NA
"An_der_Kost","2026/02/19 09:31:00","2026/02/19 11:51:00",0.6,"2026/02/19 11:08:00",140,0.006,"Leichter Regen / Unterhalb DWD-Schwelle",141,0.21,0.6,NA,NA,TRUE,NA
"An_der_Kost","2026/02/19 09:40:00","2026/02/19 11:32:00",0.4,"2026/02/19 11:08:00",112,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",113,0.18,0.6,NA,NA,TRUE,NA
"An_der_Kost","2026/02/19 09:50:00","2026/02/19 11:22:00",0.6,"2026/02/19 11:07:00",92,0.008,"Leichter Regen / Unterhalb DWD-Schwelle",12,0.11,0.48,NA,"Level 0 – Kein nennenswerter Regen",TRUE,NA
"Königsallee_Springorum","2026/02/21 16:22:00","2026/02/21 19:56:00",0.5,"2026/02/21 16:51:00",214,0.017,"Leichter Regen / Unterhalb DWD-Schwelle",215,0.1,0.6,NA,NA,TRUE,NA
"An_der_Kost","2026/02/22 09:59:00","2026/02/22 15:21:00",0.4,"2026/02/22 11:29:00",322,0.004,"Leichter Regen / Unterhalb DWD-Schwelle",323,0.43,2.52,NA,NA,TRUE,NA
"An_der_Kost","2026/02/22 17:17:00","2026/02/22 19:24:00",0.4,"2026/02/22 17:20:00",127,0.129,"Leichter Regen / Unterhalb DWD-Schwelle",128,4.49,4.68,NA,NA,TRUE,NA
